syndrome	score	normalized_score
ODONTOONYCHODERMAL DYSPLASIA; OODD	1.0142857	100.0
211910 CAMPTODACTYLY SYNDROME, GUADALAJARA, TYPE I; GCS1;;FACIOTHORACOSKELETAL SYNDROME; FTSS	1.00185874	98.77480674330714
TRICHOHEPATOENTERIC SYNDROME 1	0.51470567	50.7456301513469
IMMUNODEFICIENCY 36; IMD36	0.5	49.29577534219401
DYSTONIA 6, TORSION	0.25	24.647887671097006
#215400 CHORDOMA, SUSCEPTIBILITY TO; CHDM	0.25	24.647887671097006
HYPERPARATHYROIDISM 2	0.25	24.647887671097006
METAPHYSEAL CHONDRODYSPLASIA, SPAHR TYPE	0.25	24.647887671097006
228560 FIBROMATOSIS, GINGIVAL, WITH DISTINCTIVE FACIES	0.22118081	21.806559039529
MACS SYNDROME	0.13893926999999998	13.698238080256871
VAN MALDERGEM SYNDROME 2; VMLDS2	0.1332884	13.141110044240985
VAN MALDERGEM SYNDROME 1; VMLDS1	0.1332884	13.141110044240985
#616006 HENNEKAM LYMPHANGIECTASIA-LYMPHEDEMA SYNDROME 2; HKLLS2	0.12965204	12.782595672994304
MARSHALL-SMITH SYNDROME; MRSHSS	0.1277933	12.599339614075205
PROGEROID SHORT STATURE WITH PIGMENTED NEVI	0.125	12.323943835548503
ECTODERMAL DYSPLASIA 8, HAIR/TOOTH/NAIL TYPE	0.125	12.323943835548503
KLEEFSTRA SYNDROME	0.10630223	10.480501696908473
FRONTOMETAPHYSEAL DYSPLASIA	0.09981717000000001	9.841129575227177
ANDERSEN CARDIODYSRHYTHMIC PERIODIC PARALYSIS	0.09556896000000001	9.422291963694253
MICROPHTHALMIA, SYNDROMIC 2; MCOPS2	0.0937024	9.2382649188488
HYPER-IgE RECURRENT INFECTION SYNDROME, AUTOSOMAL DOMINANT	0.09276784	9.1461251992412
#201000 CARPENTER SYNDROME 1; CRPT1;;CARPENTER SYNDROME;;ACROCEPHALOPOLYSYNDACTYLY TYPE II;;ACPS II	0.0909091	8.9628691403221
COFFIN-SIRIS SYNDROME 10; CSS10	0.0909091	8.9628691403221
PYCNODYSOSTOSIS	0.0909091	8.9628691403221
DENTAL NONERUPTION	0.0909091	8.9628691403221
#259710 OSTEOPETROSIS, AUTOSOMAL RECESSIVE 2; OPTB2;;OSTEOPETROSIS, OSTEOCLAST-POOR;;OSTEOPETROSIS, MILD AUTOSOMAL RECESSIVE FORM	0.0909091	8.9628691403221
MANNOSIDOSIS, BETA A, LYSOSOMAL	0.08191421	8.076048986986605
POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY; PLOSL	0.07912091	7.800653208459904
15q26 overgrowth syndrome	0.07847793	7.737260813200857
BARDET-BIEDL SYNDROME 1; BBS1	0.07727068000000001	7.618236163637129
SPONDYLOMETAPHYSEAL DYSPLASIA, X-LINKED	0.07692370000000001	7.584026867380661
FUMARASE DEFICIENCY; FMRD	0.07328734	7.2255124961339785
HISTIDINEMIA	0.07142860000000001	7.04225643721488
BETA-UREIDOPROPIONASE DEFICIENCY	0.07142860000000001	7.04225643721488
%604802 HUNTINGTON DISEASE-LIKE 3; HDL3;;HUNTINGTON DISEASE-LIKE NEURODEGENERATIVE DISORDER, AUTOSOMAL RECESSIVE	0.07142860000000001	7.04225643721488
612917 GIACHETI SYNDROME;;MARFANOID HABITUS AND SPECIFIC LANGUAGE AND LEARNING DISABILITIES	0.07142860000000001	7.04225643721488
NEURODEVELOPMENTAL DISORDER WITH SPASTIC DIPLEGIA AND VISUAL DEFECTS; NEDSDV	0.07142860000000001	7.04225643721488
DYSLEXIA, SUSCEPTIBILITY TO, 1	0.07142860000000001	7.04225643721488
#231000 GAUCHER DISEASE, TYPE III;;GD III;;GAUCHER DISEASE, SUBACUTE NEURONOPATHIC TYPE;;GAUCHER DISEASE, CHRONIC NEURONOPATHIC TYPE;;GAUCHER DISEASE, JUVENILE AND ADULT, CEREBRALGAUCHER DISEASE, TYPE IIIA, INCLUDED;;GAUCHER DISEASE, TYPE IIIB, INCLUDED;;GAUCHER DISEASE, NORRBOTTNIAN TYPE, INCLUDED	0.07142860000000001	7.04225643721488
ALZHEIMER DISEASE 10	0.07142860000000001	7.04225643721488
ABLEPHARON-MACROSTOMIA SYNDROME	0.06267152	6.178882340547638
DEVELOPMENTAL DELAY WITH OR WITHOUT DYSMORPHIC FACIES AND AUTISM; DEDDFA	0.05611465	5.532430359611695
EHLERS-DANLOS SYNDROME, MUSCULOCONTRACTURAL TYPE, 1; EDSMC1	0.05434443	5.357901624759178
MEHMO SYNDROME; MEHMO	0.05354221	5.278809510969148
ROBINOW SYNDROME, AUTOSOMAL DOMINANT 3; DRS3	0.05108952	5.036995000521056
NEURODEVELOPMENTAL DISORDER, X-LINKED, WITH CRANIOFACIAL ABNORMALITIES; NEDXCF	0.049486260000000004	4.878927110970804
OROFACIODIGITAL SYNDROME XIV; OFD14	0.04782625	4.715264150919213
Myhre syndrome	0.04745316	4.678480629274375
BOSMA ARHINIA MICROPHTHALMIA SYNDROME	0.04745316	4.678480629274375
JOUBERT SYNDROME 26	0.047453159999999994	4.678480629274374
SHPRINTZEN OMPHALOCELE SYNDROME	0.04711466	4.64510738936771
CENTRAL HYPOVENTILATION SYNDROME, CONGENITAL; CCHS	0.046891270000000006	4.623083022860325
#191900 MUCKLE-WELLS SYNDROME; MWS;;URTICARIA-DEAFNESS-AMYLOIDOSIS SYNDROME;;UDA SYNDROME;;CRYOPYRIN-ASSOCIATED PERIODIC SYNDROME 2; CAPS2	0.0462716	4.5619887966477295
SIDERIUS X-LINKED MENTAL RETARDATION SYNDROME; MRXSSD	0.0458499	4.520412739724123
GALLOWAY-MOWAT SYNDROME 7; GAMOS7	0.0458499	4.520412739724123
NEPHROTIC SYNDROME, TYPE 11; NPHS11	0.0458499	4.520412739724123
HEART AND BRAIN MALFORMATION SYNDROME	0.045495100000000004	4.485432457541302
NEURODEVELOPMENTAL DISORDER WITH OR WITHOUT ANOMALIES OF THE BRAIN, EYE, OR HEART; NEDBEH	0.04527171	4.463408091033917
206600 ANHIDROSIS, FAMILIAL GENERALIZED, WITH ABNORMAL OR ABSENT SWEAT GLANDS	0.0450584	4.442377527357429
VERTEBRAL ANOMALIES AND VARIABLE ENDOCRINE AND T-CELL DYSFUNCTION; VETD	0.04465986	4.403084850747674
