gene	score	normalized_score
H1-4	75.12302693899704	100.0
EDARADD	75.11858213799704	99.994083304173
LAMB1	75.11858213799704	99.994083304173
PHKG2	75.11794028899703	99.99322890702456
GAA	75.05719743899704	99.91237107624342
FAN1	75.05719743899704	99.91237107624342
DVL3	75.05540483999704	99.90998485849762
PRUNE1	75.03204250899704	99.87888609697012
BCOR	75.02764125999703	99.87302737537789
HDC	75.00049860999702	99.8368964430846
FLVCR1	75.00049860999702	99.8368964430846
CCNQ	74.98137609099702	99.81144150632394
SYT1	74.97668098199702	99.80519161306046
ESCO2	74.96120489099702	99.78459061809181
POLR1A	74.95163071099702	99.77184595059089
TLR3	74.94101275099703	99.75771185558348
SPTLC2	74.93792591199703	99.75360281055991
MYBPC3	74.93792591199703	99.75360281055991
FLCN	74.93792591199703	99.75360281055991
CACNB4	74.93154950199703	99.74511485385766
ATCAY	74.45328422199702	99.10847213658752
KMT2A	74.45259882099703	99.1075597652043
KMT5B	74.44016836099702	99.09101296123953
POP1	74.42433145999702	99.06993167412251
SLC30A10	74.42105276999702	99.06556724668448
GCDH	74.42105276999702	99.06556724668448
GLB1	74.41926017099702	99.06318102893869
TRNT1	74.39769318099701	99.03447213516964
ODAPH	74.396365930997	99.03270536663797
CCDC115	74.396365930997	99.03270536663797
SEM1	74.392434510997	99.02747205781084
ROR1	74.392434510997	99.02747205781084
SF3B4	74.392434510997	99.02747205781084
PARK7	74.38042122099701	99.01148056959545
UPF3B	74.38042122099701	99.01148056959545
TSEN2	74.33907471099702	98.95644217233603
CCDC88C	74.33843286199702	98.95558777518757
PLA2G6	74.32997851299702	98.94433377046427
LAMC2	74.32083876299701	98.93216739435773
EPRS1	74.32083876299701	98.93216739435773
APC2	74.31951151299701	98.93040062582607
PIH1D3	74.31243580199701	98.9209817947588
GDF2	74.31243580199701	98.9209817947588
ABCA4	74.31179395299701	98.92012739761033
TBX3	74.30942988299701	98.91698046637457
PDE6H	74.30942988299701	98.91698046637457
BTRC	74.30942988299701	98.91698046637457
LPIN2	74.30942988299701	98.91698046637457
SOD1	74.30942988299701	98.91698046637457
TACO1	74.30942988299701	98.91698046637457
EWSR1	74.30612635299701	98.91258297317627
PIK3R2	74.30612635299701	98.91258297317627
EMC1	74.30479910299701	98.91081620464459
UGT1A1	74.293370852997	98.89560349229038
MSX2	74.292729003997	98.89474909514192
ANKRD55	74.28880846499699	98.88953027055543
TNFRSF11A	74.28880846499699	98.88953027055543
AGK	74.186146783997	98.7528721975476
KMT2B	74.18417050399701	98.75024147288099
GPKOW	74.18150882299702	98.74669837683115
PIGQ	74.18150882299702	98.74669837683115
TIA1	73.817274981997	98.26184858331072
PRDM5	73.817274981997	98.26184858331072
PPP2R3C	73.81179523199701	98.25455421536088
ARSB	73.81179523199701	98.25455421536088
SIX2	73.80746623199701	98.24879166800838
CDHR1	73.68246623199701	98.08239794681087
MSTO1	73.68010216199701	98.0792510155751
RPL10	73.67812588199702	98.07662029090848
PRRX1	73.67115587199702	98.067342163703
COQ4	73.66749796199701	98.06247293764936
EDNRB	73.66685611299701	98.06161854050089
HLA-A	73.65815692199702	98.05003861440574
KCNE2	73.65815692199702	98.05003861440574
LOXL3	73.65751507299701	98.04918421725726
NCAPD3	73.65751507299701	98.04918421725726
MANBA	73.65618782299701	98.0474174487256
SNORD118	73.65554597399701	98.04656305157712
ABCG5	73.65306797399701	98.04326446244811
CIT	73.652736957997	98.04282383057597
ARMC4	73.651409707997	98.0410570620443
ARFGEF2	73.651409707997	98.0410570620443
FOXG1	73.636381257997	98.02105194428965
CEP120	73.59917899299701	97.97153015780707
GLI1	73.58777258299702	97.95634651776383
PDGFRA	73.58777258299702	97.95634651776383
MDH2	73.58746374999701	97.95593541478705
MACF1	73.58613649999701	97.95416864625535
DNAAF2	73.58480924999701	97.95240187772369
TBC1D20	73.58480924999701	97.95240187772369
KCNH1	73.581117929997	97.94748817795623
LRTOMT	73.560392439997	97.91989944671829
SNX10	73.560392439997	97.91989944671829
CACNA1D	73.560392439997	97.91989944671829
LRP5	73.43549527899701	97.75364261963195
AGTPBP1	73.428674907997	97.74456368434686
EDN1	73.42601322699701	97.741020588297
ERLIN1	73.42532782599702	97.7401082169138
IFT27	73.42532782599702	97.7401082169138
IMPAD1	73.41707393599702	97.72912105314218
KCNJ6	73.41143117599702	97.72160969446837
IRF8	73.37417322699702	97.672013784242
ATXN10	73.37417322699702	97.672013784242
TGFBI	73.289090277997	97.55875563628543
EARS2	73.289090277997	97.55875563628543
NBAS	73.287763027997	97.55698886775376
NARS2	73.283842488997	97.55177004316728
PTEN	73.27334092899699	97.53779089399302
HK1	73.25801956899699	97.51739586915937
IPW	73.25801956899699	97.51739586915937
SLC2A10	73.25471603899699	97.51299837596108
ADSS1	73.247097467997	97.5028569169299
DYNC2LI1	73.239284967997	97.49245730935506
MEIOB	73.233402107997	97.48462634162159
ADGRG1	73.233402107997	97.48462634162159
MYH2	73.23207485799699	97.48285957308991
SLC2A1	73.23207485799699	97.48285957308991
PCYT1A	72.70860886199698	96.78604793313151
IL12B	72.70400292199697	96.77991673716181
GSS	72.70336107299697	96.77906234001334
ATP6V1B2	72.70271922399697	96.7782079428649
TMEM43	72.68372944499696	96.75292970292465
PKHD1	72.68372944499696	96.75292970292465
NDST1	72.68372944499696	96.75292970292465
BRIP1	72.63573585499697	96.68904304665485
PIGP	72.63072145399697	96.68236812791912
KCNJ10	72.24889656399695	96.17410201357566
SBDS	72.24756931399695	96.172335245044
NAA10	72.24573316299696	96.16989105306344
PLEKHG4	72.23132642299696	96.15071352443204
SCN9A	72.23017567299696	96.14918170383471
CCDC22	71.69338302799694	95.43463029813067
TP53RK	71.68445069699695	95.42274002777822
GALNT3	71.68067845699694	95.41771861137141
PERP	71.68067845699694	95.41771861137141
DHH	71.68003660799694	95.41686421422295
RNF13	71.68003660799694	95.41686421422295
GDAP2	71.68003660799694	95.41686421422295
KLK4	71.68003660799694	95.41686421422295
TRIM8	71.68003660799694	95.41686421422295
ZAP70	71.31580276699692	94.93201442070254
TCIRG1	71.31580276699692	94.93201442070254
PIGA	71.31516091799692	94.93116002355407
SCNN1G	71.26644016699692	94.86630540708664
D2HGDH	71.26644016699692	94.86630540708664
OFD1	71.26511291699691	94.86453863855498
SCN2A	71.24497886699692	94.83773720253677
CYP1B1	70.62547661499688	94.01308692253262
VPS53	70.62547661499688	94.01308692253262
ACP2	70.62414936499688	94.01132015400094
RPS28	70.62414936499688	94.01132015400094
NTRK1	70.62085979399689	94.00694124232227
UBA5	70.62017439299689	94.00602887093906
SIX3	70.59249940299688	93.96918931437742
FRMPD4	70.59117215299688	93.96742254584574
TAT	70.5423550929969	93.9024397276752
PRMT7	70.5417132439969	93.90158533052674
NOG	70.5223975339969	93.87587322761097
COG8	70.51911884399689	93.87150880017293
PITX2	70.50485788399688	93.85252532655493
XRCC2	70.50249381399688	93.84937839531915
CCDC28B	70.49747941299688	93.84270347658342
MAPRE2	70.49351532199688	93.83742667776218
ATP5F1A	70.48327862199689	93.82380009691593
TMEM260	70.48263677299688	93.82294569976747
BIN1	70.48263677299688	93.82294569976747
RAG2	70.47076612299688	93.8071440867552
IFIH1	70.47076612299688	93.8071440867552
SALL1	70.46567947299687	93.80037299377975
ABHD12	70.46066507199687	93.79369807504402
S1PR2	70.46066507199687	93.79369807504402
COL1A2	70.46066507199687	93.79369807504402
NECTIN4	70.45046186899685	93.78011608372157
LMBR1	70.45046186899685	93.78011608372157
CTSK	70.45004761899685	93.77956465492952
EEF2	70.44676892899685	93.77520022749148
TUB	70.44676892899685	93.77520022749148
AGRN	70.44440485899685	93.77205329625572
