syndrome	score	normalized_score
SUCCINIC SEMIALDEHYDE DEHYDROGENASE DEFICIENCY	2.00871399	100.0
PITUITARY CARCINOMA	1.8380956000000002	91.5060884302399
NEUROBLASTOMA, SUSCEPTIBILITY TO	1.5	74.67464295402254
MALIGNANT HYPERTHERMIA, SUSCEPTIBILITY TO, 2	1.4813983300000002	73.74859424362351
MALIGNANT HYPERTHERMIA, SUSCEPTIBILITY TO, 3	1.4813983300000002	73.74859424362351
SACCHAROPINURIA	1.325	65.96260127605325
3-HYDROXY-3-METHYLGLUTARYL-COA LYASE DEFICIENCY; HMGCLD	1.291667	64.30318136032895
DIBASIC AMINO ACIDURIA I	1.291666	64.30313157723366
HOMOCYSTINURIA DUE TO CYSTATHIONINE BETA-SYNTHASE DEFICIENCY	1.12432737	55.972496612123464
ACYL-COA DEHYDROGENASE, MEDIUM-CHAIN, DEFICIENCY OF	1.0909091	54.308831691862714
LARYNGOTRACHEAL ANGIOMA	1.01650564	50.60479715183346
DICARBOXYLICAMINO ACIDURIA	1.0136986	50.465054011995
HOMOZYGOUS FAMILIAL HYPERCHOLESTEROLEMIA	1.00689655	50.126426908591405
ANAPLASTIC THYROID CARCINOMA	1.00546448	50.05513403130129
EPIDERMOLYSIS BULLOSA, JUNCTIONAL, NON-HERLITZ TYPE	1.0	49.783095302681694
ALANINURIA WITH MICROCEPHALY, DWARFISM, ENAMEL HYPOPLASIA, AND DIABETES MELLITUS	1.0	49.783095302681694
DIMETHYLGLYCINE DEHYDROGENASE DEFICIENCY	1.0	49.783095302681694
PRIMARY ANGIITIS OF THE CENTRAL NERVOUS SYSTEM	1.0	49.783095302681694
DEHYDRATED HEREDITARY STOMATOCYTOSIS	1.0	49.783095302681694
BRAIN MALFORMATION-CONGENITAL HEART DISEASE-POSTAXIAL POLYDACTYLY SYNDROME	1.0	49.783095302681694
JERVELL AND LANGE-NIELSEN SYNDROME	1.0	49.783095302681694
MULTIPLE ENDOCRINE NEOPLASIA, TYPE IIA; MEN2A	0.833333	41.48589615786965
LYSINURIC PROTEIN INTOLERANCE	0.791666	39.411583925892806
MULTIPLE ACYL-COA DEHYDROGENASE DEFICIENCY	0.75942245	37.80640020334602
5-@OXOPROLINASE DEFICIENCY; OPLAHD	0.7	34.848166711877184
D-2-HYDROXYGLUTARIC ACIDURIA 1	0.63425926	31.575389187188367
MEDIUM CHAIN ACYL-COA DEHYDROGENASE DEFICIENCY	0.62597933	31.16318864289883
HYPERLYSINURIA WITH HYPERAMMONEMIA	0.625	31.114434564176058
HEREDITARY MYOPATHY WITH EARLY RESPIRATORY FAILURE	0.5949609	29.618995186069274
HAWKINSINURIA	0.583333	29.04012233219922
HAWKINSINURIA	0.583333	29.04012233219922
MALIGNANT HYPERTHERMIA OF ANESTHESIA	0.559524	27.854836616137675
PITUITARY ADENOMA 4, ACTH-SECRETING; PITA4	0.54	26.882871463448115
MULTIPLE ENDOCRINE NEOPLASIA TYPE 1	0.5380956	26.788064536753687
ZOLLINGER-ELLISON SYNDROME	0.5380956	26.788064536753687
MULTIPLE ENDOCRINE NEOPLASIA TYPE 4	0.5380956	26.788064536753687
PERIPARTUM CARDIOMYOPATHY	0.5298619	26.378165464959995
WAC-RELATED FACIAL DYSMORPHISM-DEVELOPMENTAL DELAY-BEHAVIORAL ABNORMALITIES SYNDROME	0.51217249	25.497531881081787
ARGININEMIA	0.50877193	25.3282414785193
X-LINKED INTELLECTUAL DISABILITY-PSYCHOSIS-MACROORCHIDISM SYNDROME	0.50724638	25.252294877480292
HARTNUP DISEASE	0.50492611	25.13678465494234
HYPERTRYPTOPHANEMIA; HYPTRP	0.50444444	25.112805631427896
FUNCTIONING GONADOTROPIC ADENOMA	0.5035461	25.068083485593682
DUPLICATION OF THE PITUITARY GLAND	0.5	24.891547651340847
MEVALONIC ACIDURIA; MEVA	0.5	24.891547651340847
DERMATOPATHIA PIGMENTOSA RETICULARIS; DPR	0.5	24.891547651340847
RODRIGUES BLINDNESS	0.5	24.891547651340847
RIGID SPINE MUSCULAR DYSTROPHY 1	0.5	24.891547651340847
HARTNUP DISORDER	0.5	24.891547651340847
UROCANIC ACIDURIA	0.5	24.891547651340847
GLUTATHIONE SYNTHETASE DEFICIENCY	0.5	24.891547651340847
NEURODEVELOPMENTAL DISORDER-CRANIOFACIAL DYSMORPHISM-CARDIAC DEFECT-SKELETAL ANOMALIES SYNDROME	0.5	24.891547651340847
GIANT AXONAL NEUROPATHY	0.5	24.891547651340847
KETOADIPICACIDURIA	0.5	24.891547651340847
COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 36; COXPD36	0.5	24.891547651340847
TRYPTOPHANURIA WITH DWARFISM	0.5	24.891547651340847
HSD10 DISEASE	0.5	24.891547651340847
LEBER CONGENITAL AMAUROSIS, TYPE I	0.5	24.891547651340847
2-AMINOADIPIC 2-OXOADIPIC ACIDURIA; AMOXAD	0.5	24.891547651340847
THREONINEMIA	0.5	24.891547651340847
MITOCHONDRIAL DNA-ASSOCIATED LEIGH SYNDROME	0.45925926	22.86334750921907
