syndrome	score	normalized_score
MICROCEPHALY, GROWTH RETARDATION, CATARACT, HEARING LOSS, AND UNUSUAL APPEARANCE	2.010735944	100.0
CRANIO-CERVICAL DYSTONIA WITH LARYNGEAL AND UPPER-LIMB INVOLVEMENT	1.1455937999999999	56.973855936600295
SPINOCEREBELLAR ATAXIA TYPE 20	1.1227388999999999	55.837212407239875
NETHERTON SYNDROME; NETH	1.0719741539999998	53.3125275448898
PROGEROID SHORT STATURE WITH PIGMENTED NEVI	1.0714286	53.28539548900609
HOMOZYGOUS FAMILIAL HYPERCHOLESTEROLEMIA	1.0232558	50.889615966401614
HYPERLIPOPROTEINEMIA, TYPE I	1.0232558	50.889615966401614
ALPHA-KETOGLUTARATE DEHYDROGENASE DEFICIENCY	1.0172660199999999	50.59172603123267
TRICARBOXYLIC ACID CYCLE, DEFECT OF	1.0172414	50.59050160392419
HEPARIN-INDUCED THROMBOCYTOPENIA	1.0136986	50.414307409426804
SENGERS SYNDROME	1.00684932	50.073671931136474
INFANTILE DYSTONIA-PARKINSONISM	1.002714754	49.86804741776677
OCULOSKELETODENTAL SYNDROME; OCSKD	1.000545554	49.76016651940848
EHLERS-DANLOS SYNDROME, TYPE I	1.0	49.73303446352477
HEMIDYSTONIA-HEMIATROPHY SYNDROME	1.0	49.73303446352477
MULTIPLE MYELOMA	1.0	49.73303446352477
RENAL TUBULAR ACIDOSIS, PROXIMAL, WITH OCULAR ABNORMALITIES AND MENTALRETARDATION	0.933333	46.41748225494496
HYPERINSULINISM-HYPERAMMONEMIA SYNDROME	0.667212554	33.182504942578376
46,XY DISORDER OF SEX DEVELOPMENT-ADRENAL INSUFFICIENCY DUE TO CYP11A1 DEFICIENCY	0.5954755	29.614803563684646
INHERITED ISOLATED ADRENAL INSUFFICIENCY DUE TO PARTIAL CYP11A1 DEFICIENCY	0.5954755	29.614803563684646
3-METHYLCROTONYL-COA CARBOXYLASE 1 DEFICIENCY; MCC1D	0.594593804	29.57095414613029
BIOTINIDASE DEFICIENCY	0.583878554	29.038052248595008
HYPERINSULINEMIC HYPOGLYCEMIA, FAMILIAL, 6; HHF6	0.5555556	27.629465801204184
AUTOSOMAL DOMINANT CHARCOT-MARIE-TOOTH DISEASE TYPE 2Z	0.554992024	27.601437456573365
PROGRESSIVE ENCEPHALOPATHY WITH LEUKODYSTROPHY DUE TO DECR DEFICIENCY	0.546756484	27.191859061927627
FRUCTOSE-1,6-BISPHOSPHATASE DEFICIENCY	0.5448995000000001	27.09950561265742
TREMOR, HEREDITARY ESSENTIAL, 5; ETM5	0.5324612000000001	26.480911210089758
SPINOCEREBELLAR ATAXIA TYPE 42	0.5184698999999999	25.785081405000238
NEURODEVELOPMENTAL DISORDER WITH PROGRESSIVE MICROCEPHALY, SPASTICITY, AND BRAIN ANOMALIES; NDMSBA	0.516413354	25.682803131906418
BRAIN DOPAMINE-SEROTONIN VESICULAR TRANSPORT DISEASE	0.516030184	25.663746925091026
PITT-HOPKINS-LIKE SYNDROME	0.51109745	25.418427095069624
XYLT1-CDG	0.50075643	24.904136791021628
INTERSTITIAL LUNG DISEASE, NEPHROTIC SYNDROME, AND EPIDERMOLYSIS BULLOSA, CONGENITAL; ILNEB	0.50075643	24.904136791021628
%109160 AZOTEMIA, FAMILIAL	0.5	24.866517231762383
BARTH SYNDROME; BTHS	0.5	24.866517231762383
GLYCINE ENCEPHALOPATHY	0.5	24.866517231762383
PIGMENTED NODULAR ADRENOCORTICAL DISEASE, PRIMARY, 4	0.5	24.866517231762383
CHYLOMICRON RETENTION DISEASE	0.5	24.866517231762383
SECONDARY SHORT BOWEL SYNDROME	0.5	24.866517231762383
RENAL TUBULAR ACIDOSIS III	0.5	24.866517231762383
LEUKOENCEPHALOPATHY WITH VANISHING WHITE MATTER; VWM	0.5	24.866517231762383
BRANCHIOOTORENAL SYNDROME 1	0.5	24.866517231762383
CALCIPHYLAXIS	0.5	24.866517231762383
POEMS SYNDROME	0.5	24.866517231762383
179830 RENAL TUBULAR ACIDOSIS, PROXIMAL;;RENAL TUBULAR ACIDOSIS II;;RTA, PROXIMAL TYPE;;RTA, RATE TYPE	0.4787875	23.81155523820486
PYRUVATE DEHYDROGENASE E1-ALPHA DEFICIENCY; PDHAD	0.461841344	22.968771477832597
CHRONIC ACTINIC DERMATITIS	0.4047616	20.130022602311428
3-METHYLCROTONYL-COA CARBOXYLASE 2 DEFICIENCY; MCC2D	0.384083824	19.10165405587438
GLUTATHIONE SYNTHETASE DEFICIENCY	0.37914580000000003	18.85607113810067
PLACENTAL INSUFFICIENCY	0.3768113	18.73996936914557
SPINOCEREBELLAR ATAXIA TYPE 12	0.36579419999999996	18.19205555515747
POSTENCEPHALITIC PARKINSONISM	0.3619044	17.998603997701252
ACUTE ADRENAL INSUFFICIENCY	0.35369827	17.590488251599087
INSULINOMA	0.35264303	17.5380079643118
METHYLMALONIC ACIDURIA DUE TO METHYLMALONYL-COA MUTASE DEFICIENCY	0.348584754	17.336177584141303
HOLOCARBOXYLASE SYNTHETASE DEFICIENCY	0.3480389	17.309030608347246
LEUKODYSTROPHY, HYPOMYELINATING, 5; HLD5	0.345506454	17.183084384152238
GLUTATHIONE SYNTHETASE DEFICIENCY	0.3449609	17.155952328268523
ADDISON DISEASE	0.33999967	16.90921530569705
CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIC; CDG2C	0.338422864	16.830795958556756
ACYL-COA DEHYDROGENASE, SHORT-CHAIN, DEFICIENCY OF	0.337927134	16.80614180138215
HYPERINSULINISM DUE TO HNF4A DEFICIENCY	0.33791923	16.805748711477754
ACITRETIN/ETRETINATE EMBRYOPATHY	0.33777946999999997	16.79879802258113
EPIDERMAL NEVUS SYNDROME	0.337568594	16.7883105192056
NEURODEVELOPMENTAL DISORDER WITH CEREBELLAR ATROPHY AND WITH OR WITHOUT SEIZURES; NEDCAS	0.33680418399999995	16.750294090331337
DEVELOPMENTAL AND SPEECH DELAY DUE TO SOX5 DEFICIENCY	0.3355022	16.685542475188377
DISTAL MONOSOMY 12Q	0.33463498399999997	16.642413191973056
DEAFNESS, NEURAL, WITH ATYPICAL ATOPIC DERMATITIS	0.333333	16.5776615768301
CANAVAN DISEASE	0.333333	16.5776615768301
NEUROMYELITIS OPTICA	0.333333	16.5776615768301
MULTIPLE ENDOCRINE NEOPLASIA, TYPE IIA; MEN2A	0.333333	16.5776615768301
GRANULOMATOUS DISEASE, CHRONIC, AUTOSOMAL RECESSIVE, CYTOCHROME B-POSITIVE, TYPE III; CDG3	0.333333	16.5776615768301
ATYPICAL PROGRESSIVE SUPRANUCLEAR PALSY SYNDROME	0.333333	16.5776615768301
ANGIOMATOSIS, DIFFUSE CORTICOMENINGEAL, OF DIVRY AND VAN BOGAERT	0.333333	16.5776615768301
CONGENITAL HEMIDYSPLASIA WITH ICHTHYOSIFORM ERYTHRODERMA AND LIMB DEFECTS	0.333333	16.5776615768301
POSTERIOR COLUMN ATAXIA-RETINITIS PIGMENTOSA SYNDROME	0.333333	16.5776615768301
THUMB AGENESIS, SHORT STATURE, AND IMMUNODEFICIENCY	0.333333	16.5776615768301
CYSTINOSIS, NEPHROPATHIC; CTNS	0.333333	16.5776615768301
BILIARY MALFORMATION WITH RENAL TUBULAR INSUFFICIENCY	0.333333	16.5776615768301
PSEUDOHYPOALDOSTERONISM, TYPE II	0.333333	16.5776615768301
RENAL TUBULAR ACIDOSIS, DISTAL, WITH HEMOLYTIC ANEMIA	0.32152769999999997	15.990548185077852
MONOCARBOXYLATE TRANSPORTER 1 DEFICIENCY; MCT1D	0.319381454	15.88380885879265
BIOTINIDASE DEFICIENCYMULTIPLE CARBOXYLASE DEFICIENCY, LATE-ONSET	0.31691903400000004	15.76134524006898
FAMILIAL GLUCOCORTICOID DEFICIENCY	0.3055556	15.196207185322988
HYPOPARATHYROIDISM, SENSORINEURAL DEAFNESS, AND RENAL DISEASE	0.30000000000000004	14.919910339057433
CONGENITAL LIPOID ADRENAL HYPERPLASIA DUE TO STAR DEFICENCY	0.2954755	14.694893224627211
MITOCHONDRIAL DNA DEPLETION SYNDROME 14	0.29239448000000007	14.541664750784406
LEIGH SYNDROME WITH NEPHROTIC SYNDROME	0.28678662	14.26276885613778
HYPERPHOSPHATASIA-INTELLECTUAL DISABILITY SYNDROME	0.285028354	14.175324952563736
ISOBUTYRYL-COA DEHYDROGENASE DEFICIENCY	0.2822581	14.037551814909023
%236795 3-@HYDROXYISOBUTYRIC ACIDURIA	0.27815542000000004	13.833513089076208
INSULIN AUTOIMMUNE SYNDROME	0.27777799999999997	13.81474284720898
WIEDEMANN-RAUTENSTRAUCH SYNDROME	0.275315754	13.692287882033307
GLYCOGEN STORAGE DISEASE DUE TO HEPATIC GLYCOGEN SYNTHASE DEFICIENCY	0.273801354	13.616972174641745
HYPERAMMONEMIA DUE TO N-ACETYLGLUTAMATE SYNTHASE DEFICIENCY	0.26716978399999997	13.287164075284466
CITRULLINEMIA TYPE II	0.264082984	13.13364814450246
HSD10 DISEASE	0.25473841399999997	12.668914322645639
EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 55; EIEE55	0.25347118399999996	12.605891129382426
AL KAISSI SYNDROME; ALKAS	0.251301984	12.498010231024148
HYPOINSULINEMIC HYPOGLYCEMIA AND BODY HEMIHYPERTROPHY	0.25114939999999997	12.490421765693565
MENTAL RETARDATION, AUTOSOMAL DOMINANT 38; MRD38	0.250545554	12.460390671764905
FETAL AND NEONATAL ALLOIMMUNE THROMBOCYTOPENIA	0.250545554	12.460390671764905
HEMOPHILIA B	0.25	12.433258615881192
SEVERE HEMOPHILIA A	0.25	12.433258615881192
HYPERPARATHYROIDISM 2	0.25	12.433258615881192
CONGENITAL FACTOR II DEFICIENCY	0.25	12.433258615881192
LACTIC ACIDOSIS, CHRONIC ADULT FORM	0.25	12.433258615881192
DYSTONIA 6, TORSION	0.25	12.433258615881192
METAPHYSEAL CHONDRODYSPLASIA, SPAHR TYPE	0.25	12.433258615881192
SPINOCEREBELLAR ATAXIA TYPE 18	0.24545450000000002	12.207197107727241
ADULT-ONSET CERVICAL DYSTONIA, DYT23 TYPE	0.24545450000000002	12.207197107727241
MITOCHONDRIAL COMPLEX III DEFICIENCY, NUCLEAR TYPE 6; MC3DN6	0.22859747	11.368845853784569
SPORADIC INFANTILE BILATERAL STRIATAL NECROSIS	0.2285714	11.367549313576106
MITOCHONDRIAL MYOPATHY WITH REVERSIBLE CYTOCHROME C OXIDASE DEFICIENCY	0.22272730000000002	11.076904486867821
TRICHOTHIODYSTROPHY	0.222363844	11.058828717093846
TREMOR, HEREDITARY ESSENTIAL, 2; ETM2	0.22222199999999998	11.051774384553399
ADULT-ONSET NON-INSULINOMA PERSISTENT HYPERINSULINEMIC HYPOGLYCEMIA	0.22010343000000002	10.946411469730013
CARNITINE PALMITOYL TRANSFERASE II DEFICIENCY, NEONATAL FORM	0.216667	10.77550737810852
ANGELMAN SYNDROME	0.21664233400000002	10.774280663080445
CONGENITAL ADRENAL HYPERPLASIA DUE TO 11-BETA-HYDROXYLASE DEFICIENCY	0.21586780000000003	10.735760736965274
3-HYDROXY-3-METHYLGLUTARIC ACIDURIA	0.21526794999999999	10.705928376242326
MENTAL RETARDATION, X-LINKED, SYNDROMIC 33	0.214172374	10.651442057276915
AUTOSOMAL SPASTIC PARAPLEGIA TYPE 58	0.212929884	10.58964925928633
LETHAL INFANTILE MITOCHONDRIAL MYOPATHY	0.20740741000000001	10.314999869520411
COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 28	0.207394874	10.314376416200377
SPINOCEREBELLAR ATAXIA TYPE 13	0.20423559400000002	10.157255835080454
XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP F; XPF	0.20419286	10.155130543585688
EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 35	0.20347118400000003	10.11923940620619
PRIMARY HYPERALDOSTERONISM-SEIZURES-NEUROLOGICAL ABNORMALITIES SYNDROME	0.20054555400000001	9.973738948588668
AUTOSOMAL RECESSIVE SPASTIC PARAPLEGIA TYPE 75	0.20054555400000001	9.973738948588668
AUTOSOMAL RECESSIVE SPASTIC PARAPLEGIA TYPE 67	0.20054555400000001	9.973738948588668
FAMILIAL HYPERALDOSTERONISM TYPE I	0.2	9.946606892704954
PROGRESSIVE NON-INFECTIOUS ANTERIOR VERTEBRAL FUSION	0.2	9.946606892704954
SUCCINYL-COA:3-OXOACID COA TRANSFERASE DEFICIENCY	0.2	9.946606892704954
SHOX-RELATED SHORT STATURE	0.2	9.946606892704954
BETA-THALASSEMIA	0.2	9.946606892704954
OSTEOPETROSIS, AUTOSOMAL RECESSIVE 3; OPTB3	0.2	9.946606892704954
46,XY OVOTESTICULAR DISORDER OF SEX DEVELOPMENT	0.2	9.946606892704954
JUVENILE HYALINE FIBROMATOSIS	0.2	9.946606892704954
6P22 MICRODELETION SYNDROME	0.2	9.946606892704954
BENIGN SCHWANNOMA	0.2	9.946606892704954
MALARIA	0.2	9.946606892704954
MEDULLARY SPONGE KIDNEY	0.2	9.946606892704954
DIFFUSE NEONATAL HEMANGIOMATOSIS	0.2	9.946606892704954
ALPHA-METHYLACETOACETIC ACIDURIA	0.2	9.946606892704954
ROMANO-WARD SYNDROME	0.2	9.946606892704954
INFANTILE MYOFIBROMATOSIS	0.2	9.946606892704954
POLYARTERITIS NODOSA	0.2	9.946606892704954
RECURRENT METABOLIC ENCEPHALOMYOPATHIC CRISES-RHABDOMYOLYSIS-CARDIAC ARRHYTHMIA-INTELLECTUAL DISABILITY SYNDROME	0.18398889	9.150325807275667
MICROCEPHALY, SHORT STATURE, AND IMPAIRED GLUCOSE METABOLISM 2	0.18329603	9.11586777701727
HEREDITARY FRUCTOSE INTOLERANCE	0.1770837	8.806909755028482
MUCOLIPIDOSIS TYPE II	0.17407441	8.657248631747741
PEROXISOMAL ACYL-COA OXIDASE DEFICIENCY	0.171000434	8.504370477399693
IMMUNE DYSREGULATION-POLYENDOCRINOPATHY-ENTEROPATHY-X-LINKED SYNDROME	0.16783220000000001	8.346804586689183
PGM3-CDG	0.16678534	8.294741062230695
DERMATOLEUKODYSTROPHY	0.166667	8.288855654932282
PROPROTEIN CONVERTASE 1/3 DEFICIENCY	0.166667	8.288855654932282
CEREBROOCULONASAL SYNDROME	0.166667	8.288855654932282
CHRONIC INTESTINAL PSEUDOOBSTRUCTION	0.166667	8.288855654932282
HYPERINSULINISM DUE TO SHORT CHAIN 3-HYDROXYLACYL-COA DEHYDROGENASE DEFICIENCY	0.16583513	8.24748423555311
SEVERE COMBINED IMMUNODEFICIENCY DUE TO ADENOSINE DEAMINASE DEFICIENCY	0.16233770000000003	8.073546428829346
BRAIN MALFORMATIONS-MUSCULOSKELETAL ABNORMALITIES-FACIAL DYSMORPHISM-INTELLECTUAL DISABILITY SYNDROME	0.161651754	8.039432252771228
COMBINED MALONIC AND METHYLMALONIC ACIDEMIA	0.15796865400000001	7.856260513538619
DE BARSY SYNDROME	0.157101154	7.813117106141511
WRINKLY SKIN SYNDROME	0.157101154	7.813117106141511
SPINOCEREBELLAR ATAXIA TYPE 28	0.1565655	7.786477407298986
SPINOCEREBELLAR ATAXIA TYPE 15/16	0.1565655	7.786477407298986
HYPERINSULINISM DUE TO GLUCOKINASE DEFICIENCY	0.15591140000000003	7.753947029456397
VERY LONG CHAIN ACYL-COA DEHYDROGENASE DEFICIENCY	0.1487204	7.396316778629189
EHLERS-DANLOS SYNDROME, TYPE VI	0.14664487999999998	7.293094870939452
GITELMAN SYNDROME	0.14545450000000001	7.233893661374764
CONGENITAL FACTOR XIII DEFICIENCY	0.14285699999999998	7.104712104355756
PSEUDOHYPOPARATHYROIDISM TYPE 1C	0.14285699999999998	7.104712104355756
PSEUDOHYPOPARATHYROIDISM TYPE 1A	0.14285699999999998	7.104712104355756
HEREDITARY THROMBOPHILIA DUE TO CONGENITAL ANTITHROMBIN DEFICIENCY	0.14285699999999998	7.104712104355756
PERIODIC FEVER, MENSTRUAL CYCLE-DEPENDENT	0.14285699999999998	7.104712104355756
RESTRICTIVE DERMOPATHY, LETHAL	0.14285699999999998	7.104712104355756
AUTOIMMUNE HYPOPARATHYROIDISM	0.14285699999999998	7.104712104355756
FAMILIAL ISOLATED HYPERPARATHYROIDISM	0.14285699999999998	7.104712104355756
PSEUDOHYPOPARATHYROIDISM TYPE 1B	0.14285699999999998	7.104712104355756
PSEUDOHYPOPARATHYROIDISM TYPE 2	0.14285699999999998	7.104712104355756
