syndrome	score	normalized_score
PARAMYOTONIA CONGENITA OF VON EULENBURG	4.6782949	100.0
HOMOZYGOUS FAMILIAL HYPERCHOLESTEROLEMIA	2.0	42.75061839303888
LATE-ONSET DISTAL MYOPATHY, MARKESBERY-GRIGGS TYPE	1.55725642	33.28683747576494
AUTOSOMAL DOMINANT LIMB-GIRDLE MUSCULAR DYSTROPHY TYPE 1A	1.31973289	28.209698580566183
TELANGIECTASIA, HEREDITARY HEMORRHAGIC, TYPE 4; HHT4	1.31932692	28.20102084629167
PLECTIN-RELATED  LIMB-GIRDLE MUSCULAR DYSTROPHY R17	1.17498217	25.115607184147372
GLOMUVENOUS MALFORMATION	1.142857	24.42892174240662
POSTSYNAPTIC CONGENITAL MYASTHENIC SYNDROMES	1.11676445	23.871185418430976
MYOTONIA CONGENITA, AUTOSOMAL DOMINANT	1.083334	23.15659921310219
ALACRIMIA-CHOREOATHETOSIS-LIVER DYSFUNCTION SYNDROME	1.06368982	22.73669879169011
INCLUSION BODY MYOPATHY WITH PAGET DISEASE OF BONE AND FRONTOTEMPORAL DEMENTIA	1.02516359	21.913188713263885
CHIARI MALFORMATION TYPE II	1.0192308	21.78637349261587
SPINOCEREBELLAR ATAXIA, X-LINKED 3	1.01777445	21.75524356106752
PRIMARY ANGIITIS OF THE CENTRAL NERVOUS SYSTEM	1.01151131	21.621367007026425
DRUG RASH WITH EOSINOPHILIA AND SYSTEMIC SYMPTOMS	1.00617284	21.507255560140084
MYH7-RELATED LATE-ONSET SCAPULOPERONEAL MUSCULAR DYSTROPHY	1.0060581499999999	21.504804025928333
ATRESIA OF SMALL INTESTINE	1.00401606	21.461153720771218
ADRENOCORTICAL CARCINOMA	1.00294985	21.438363152352792
DEHYDRATED HEREDITARY STOMATOCYTOSIS	1.0	21.37530919651944
DERMATOPATHIA PIGMENTOSA RETICULARIS; DPR	1.0	21.37530919651944
ANAPLASTIC THYROID CARCINOMA	1.0	21.37530919651944
JERVELL AND LANGE-NIELSEN SYNDROME	1.0	21.37530919651944
GLYCOSYLPHOSPHATIDYLINOSITOL BIOSYNTHESIS DEFECT 17; GPIBD17	1.0	21.37530919651944
HORNER SYNDROME, CONGENITAL	1.0	21.37530919651944
FAMILIAL MEDIAN CLEFT OF THE UPPER AND LOWER LIPS	1.0	21.37530919651944
DEXTROCARDIA	1.0	21.37530919651944
PEUTZ-JEGHERS SYNDROME	1.0	21.37530919651944
PLUMMER-VINSON SYNDROME	1.0	21.37530919651944
OSTEOGENESIS IMPERFECTA WITH OPALESCENT TEETH, BLUE SCLERAE AND WORMIAN BONES, BUT WITHOUT FRACTURES	1.0	21.37530919651944
SHORT STATURE, OPTIC NERVE ATROPHY, AND PELGER-HUET ANOMALY; SOPH	1.0	21.37530919651944
CONGENITALLY CORRECTED TRANSPOSITION OF THE GREAT ARTERIES	1.0	21.37530919651944
HEMIHYPERPLASIA-MULTIPLE LIPOMATOSIS SYNDROME	1.0	21.37530919651944
PIGMENTED VILLONODULAR SYNOVITIS	1.0	21.37530919651944
TELO2-RELATED INTELLECTUAL DISABILITY-NEURODEVELOPMENTAL DISORDER	1.0	21.37530919651944
TYPICAL NEMALINE MYOPATHY	0.99306875	21.227151584651065
GNE MYOPATHY	0.9727254500000001	20.792307257073514
MYOTONIA CONGENITA, AUTOSOMAL RECESSIVE	0.91961685	19.65709451107924
PURE MITOCHONDRIAL MYOPATHY	0.88764741	18.973737846239665
GAMMA-SARCOGLYCAN-RELATED  LIMB-GIRDLE MUSCULAR DYSTROPHY R5	0.8777029000000001	18.761170870181783
MYOPATHY AND DIABETES MELLITUS	0.8616059	18.41709251804541
AUTOSOMAL RECESSIVE AXONAL NEUROPATHY WITH NEUROMYOTONIA	0.8232661	17.597567438512694
TELANGIECTASIA, HEREDITARY HEMORRHAGIC, TYPE 2; HHT2	0.81932692	17.513366248031947
CONGENITAL MYASTHENIC SYNDROME	0.7940796199999999	16.97369740415466
PRESYNAPTIC CONGENITAL MYASTHENIC SYNDROMES	0.7940796199999999	16.97369740415466
AUTOSOMAL DOMINANT CHARCOT-MARIE-TOOTH DISEASE TYPE 2A2	0.7695421	16.449200327238884
RICHIERI COSTA-DA SILVA SYNDROME	0.73442799	15.698625368828289
RIGID SPINE MUSCULAR DYSTROPHY 1	0.72279045	15.449869353041427
HEREDITARY ACROKERATOTIC POIKILODERMA	0.7081871	15.137718231486433
HYPOKALEMIC PERIODIC PARALYSIS	0.6882392	14.711325701165185
ARNOLD-CHIARI MALFORMATION TYPE I	0.6625	14.16114234269413
HEREDITARY MOTOR AND SENSORY NEUROPATHY, TYPE IIC; HMSN2C	0.6530591	13.959340186100711
ALPHA-N-ACETYLGALACTOSAMINIDASE DEFICIENCY TYPE 2	0.64902984	13.87321350776754
MIYOSHI MYOPATHY	0.6428359	13.740816125122851
DISTAL MYOPATHY WITH POSTERIOR LEG AND ANTERIOR HAND INVOLVEMENT	0.6412884	13.707737834141238
MYOPATHY, SCAPULOHUMEROPERONEAL	0.6189391399999999	13.230015491327832
LAMININ SUBUNIT ALPHA 2-RELATED CONGENITAL MUSCULAR DYSTROPHY	0.6180285999999999	13.210552417292035
OCULOPHARYNGODISTAL MYOPATHY	0.5955275699999999	12.729585943801874
MYOPATHY, MYOFIBRILLAR, 9, WITH EARLY RESPIRATORY FAILURE; MFM9	0.59280268	12.671340577525372
AUTOSOMAL RECESSIVE MULTIPLE PTERYGIUM SYNDROME	0.58531968	12.511389138807816
GANGLIONEUROMA	0.5833333	12.468929652126036
DESMINOPATHY	0.5777846	12.350324473987307
ANEURYSM-OSTEOARTHRITIS SYNDROME	0.5665849	12.110927423579048
INSENSITIVITY TO PAIN, CONGENITAL, WITH ANHIDROSIS; CIPA	0.56215541	12.016245705246158
LAING EARLY-ONSET DISTAL MYOPATHY	0.54900659	11.735185612176778
MITOCHONDRIAL TRIFUNCTIONAL PROTEIN DEFICIENCY	0.5451575700000001	11.652911619573194
AMYLOIDOSIS	0.54467025	11.642495003895544
THYROTOXIC PERIODIC PARALYSIS	0.53628652	11.463290182925407
ADENYLOSUCCINATE SYNTHETASE-LIKE 1-RELATED DISTAL MYOPATHY	0.5314464	11.35983112137715
AURICULOCONDYLAR SYNDROME	0.5285714	11.298377107437156
BRAIN DOPAMINE-SEROTONIN VESICULAR TRANSPORT DISEASE	0.52430598	11.207202436084138
MYHRE SYNDROME	0.52082013	11.132691314521452
STEVENS-JOHNSON SYNDROME/TOXIC EPIDERMAL NECROLYSIS SPECTRUM	0.5126755	10.958597329980202
RIPPLING MUSCLE DISEASE 1; RMD1	0.5120482	10.945188598521225
RIPPLING MUSCLE DISEASE; RMD	0.5120482	10.945188598521225
HYDROLETHALUS	0.50549451	10.805101448393089
PEUTZ-JEGHERS SYNDROME	0.50401606	10.773499122511494
LEUKODYSTROPHY, HYPOMYELINATING, 3; HLD3	0.50316456	10.755298046730658
OBESITY DUE TO SIM1 DEFICIENCY	0.5	10.68765459825972
ANEURYSM OF SINUS OF VALSALVA	0.5	10.68765459825972
CLUSTER HEADACHE, FAMILIAL	0.5	10.68765459825972
PYLORIC STENOSIS, INFANTILE HYPERTROPHIC 1	0.5	10.68765459825972
EARLY-ONSET SEIZURES-DISTAL LIMB ANOMALIES-FACIAL DYSMORPHISM-GLOBAL DEVELOPMENTAL DELAY SYNDROME	0.5	10.68765459825972
FOCAL EPITHELIAL HYPERPLASIA OF THE ORAL MUCOSA	0.5	10.68765459825972
FOCAL EPITHELIAL HYPERPLASIA, ORAL	0.5	10.68765459825972
TRIGEMINAL NEURALGIA	0.5	10.68765459825972
HEREDITARY PERSISTENCE OF FETAL HEMOGLOBIN-BETA-THALASSEMIA SYNDROME	0.5	10.68765459825972
MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE III	0.5	10.68765459825972
HEREDITARY MYOPATHY WITH EARLY RESPIRATORY FAILURE	0.49483608	10.57727421159363
NEMALINE MYOPATHY 2; NEM2	0.48801948000000006	10.431567278924637
NEMALINE MYOPATHY 3; NEM3	0.47876022000000007	10.233647733493672
MULTIPLE SYSTEM ATROPHY, PARKINSONIAN TYPE	0.47483770000000003	10.149802655664141
MULTIPLE SYSTEM ATROPHY	0.47483770000000003	10.149802655664141
MULTIPLE SYSTEM ATROPHY, CEREBELLAR TYPE	0.47483770000000003	10.149802655664141
MUSCULAR DYSTROPHY, LIMB-GIRDLE, AUTOSOMAL DOMINANT 2; LGMDD2	0.46833150000000007	10.010730618969745
CLASSIC MULTIMINICORE MYOPATHY	0.45398950000000005	9.704165934473263
AMYOTROPHIC LATERAL SCLEROSIS	0.43933507000000005	9.390922962124513
LEUKODYSTROPHY, DEMYELINATING, ADULT-ONSET, AUTOSOMAL DOMINANT; ADLD	0.4361472	9.322781255196205
FILAMINOPATHY, AUTOSOMAL DOMINANT	0.43148848	9.223199674736195
GMPPB-RELATED  LIMB-GIRDLE MUSCULAR DYSTROPHY R19	0.4221956	9.024561491410044
SYRINGOMYELIA, ISOLATED	0.4120878	8.808504141113465
TIBIAL MUSCULAR DYSTROPHY	0.4054035	8.665625161851171
PERIODONTITIS, AGGRESSIVE, 1	0.4039681	8.634943043030486
SCAPULOPERONEAL SPINAL MUSCULAR ATROPHY; SPSMA	0.39698694	8.485718589480113
CHARCOT-MARIE-TOOTH DISEASE-DEAFNESS-INTELLECTUAL DISABILITY SYNDROME	0.3946947	8.436721250727482
AUTOSOMAL DOMINANT CHARCOT-MARIE-TOOTH DISEASE TYPE 2Z	0.3932286000000001	8.405382909914467
ANOCTAMIN-5-RELATED  LIMB-GIRDLE MUSCULAR DYSTROPHY R12	0.38931325000000006	8.321691093051873
INCLUSION BODY MYOSITIS	0.38614620000000005	8.253994420061037
EPIDERMOLYSIS BULLOSA SIMPLEX WITH PYLORIC ATRESIA	0.3859646	8.250112663910947
NEURONOPATHY, DISTAL HEREDITARY MOTOR, TYPE IIB; HMN2B	0.37596694	8.036409590169272
CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIC; CDG2C	0.37037	7.9167732671149045
NEURONOPATHY, DISTAL HEREDITARY MOTOR, TYPE IIA; HMN2A	0.3697941	7.90446322654863
PITUITARY DERMOID AND EPIDERMOID CYSTS	0.36912197	7.890096239978374
ZEBRA BODY MYOPATHY	0.36774676	7.860700701018228
MODERATE MULTIMINICORE DISEASE WITH HAND INVOLVEMENT	0.36348955000000005	7.769701520953714
AMYOTROPHY, MONOMELIC	0.3627448	7.753782259429605
O'SULLIVAN-MCLEOD SYNDROME	0.3627448	7.753782259429605
EHLERS-DANLOS SYNDROME, PERIODONTAL TYPE, 1; EDSPD1	0.3618908	7.735527745375778
SHEEHAN SYNDROME	0.36064095	7.708811815176508
YOUNG-ONSET PARKINSON DISEASE	0.3541663	7.570414169487264
CONGENITAL TRACHEAL STENOSIS	0.3505744	7.493636196384286
DISTAL MYOPATHY, TATEYAMA TYPE	0.34957119999999997	7.472192486198336
AUTOSOMAL DOMINANT SPASTIC PARAPLEGIA TYPE 19	0.3449609	7.373645898209624
AUTOSOMAL DOMINANT SPASTIC PARAPLEGIA TYPE 12	0.3449609	7.373645898209624
FOCAL PALMOPLANTAR AND GINGIVAL KERATODERMA	0.34304174	7.3326232598120304
SPINAL MUSCULAR ATROPHY, DISTAL, X-LINKED 3	0.34270873	7.325505068096498
SALT-AND-PEPPER SYNDROME	0.33976266	7.262531910931908
MULTIPLE ENDOCRINE NEOPLASIA, TYPE IIA; MEN2A	0.33870933999999997	7.240016870249029
MULTIPLE ACYL-COA DEHYDROGENASE DEFICIENCY	0.33747541000000003	7.21364123497217
CAP MYOPATHY	0.33712755000000005	7.206205619915069
176620 PRIAPISM, FAMILIAL IDIOPATHIC	0.333333	7.125095940403414
PIERPONT SYNDROME	0.333333	7.125095940403414
HEMOGLOBIN--BETA LOCUS	0.333333	7.125095940403414
SICKLE CELL ANEMIA	0.333333	7.125095940403414
THUMB AGENESIS, SHORT STATURE, AND IMMUNODEFICIENCY	0.333333	7.125095940403414
SYNDROMIC RECESSIVE X-LINKED ICHTHYOSIS	0.333333	7.125095940403414
KERATOSIS, FOCAL PALMOPLANTAR AND GINGIVAL	0.333333	7.125095940403414
MYOPATHY, MYOFIBRILLAR, 1; MFM1	0.33308826	7.119864547230659
118301 CHARCOT-MARIE-TOOTH DISEASE WITH PTOSIS AND PARKINSONISM	0.33158636	7.087760970348407
MIYOSHI MUSCULAR DYSTROPHY 1; MMD1	0.32744121000000004	6.999157107432455
PITUITARY DEFICIENCY DUE TO RATHKE CLEFT CYSTS	0.3269231	6.988082345984645
NEMALINE MYOPATHY 7; NEM7	0.3184354	6.806655134117347
ADULT-ONSET DISTAL MYOPATHY DUE TO VCP MUTATION	0.31040321	6.634964589342155
BROWN-VIALETTO-VAN LAERE SYNDROME 1; BVVLS1	0.30968257	6.619560686522775
CONGENITAL MUSCULAR DYSTROPHY WITH INTELLECTUAL DISABILITY	0.30808665	6.585447403069866
OROFACIODIGITAL SYNDROME TYPE 4	0.30549451	6.5300396090892
CHILDHOOD-ONSET NEMALINE MYOPATHY	0.30211239000000006	6.45774574834947
LETHAL ATAXIA WITH DEAFNESS AND OPTIC ATROPHY	0.30167487	6.448393623069807
LIPODYSTROPHY, CONGENITAL GENERALIZED, TYPE 4; CGL4	0.29660496000000003	6.340022729221281
ALPHA-B CRYSTALLIN-RELATED LATE-ONSET MYOPATHY	0.29619402	6.331238759660063
ADULT-ONSET CHRONIC PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WITH MITOCHONDRIAL MYOPATHY	0.29442302000000004	6.293383087073027
MULTIMINICORE MYOPATHY	0.29232481000000005	6.248533199563799
VOCAL CORD AND PHARYNGEAL DISTAL MYOPATHY	0.28975131	6.193523841346555
DERMATOMYOSITIS	0.28871368000000003	6.171344179264972
NEUTRAL LIPID STORAGE MYOPATHY	0.28741340000000004	6.143550292222922
X-LINKED INTELLECTUAL DISABILITY, HEDERA TYPE	0.28571430000000003	6.107231504367115
CYANIDE-INDUCED PARKINSONISM-DYSTONIA	0.2844828	6.0809078110916
ISOLATED SUCCINATE-COQ REDUCTASE DEFICIENCY	0.28374688000000003	6.065177293547698
PITUITARY APOPLEXY	0.28349057	6.059698588047539
MEDIUM CHAIN ACYL-COA DEHYDROGENASE DEFICIENCY	0.28300387	6.049295225061592
MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2H	0.28250234	6.038574866240262
NON-PROGRESSIVE PREDOMINANTLY POSTERIOR CAVITATING LEUKOENCEPHALOPATHY WITH PERIPHERAL NEUROPATHY	0.28221604000000006	6.032455115217299
KLHL9-RELATED EARLY-ONSET DISTAL MYOPATHY	0.28067590000000003	5.999534146511372
MITOCHONDRIAL MYOPATHY WITH DIABETES	0.27777465	5.937519030704969
NEUROPATHY, HEREDITARY SENSORIMOTOR, WITH UPPER MOTOR NEURON, VISUAL PATHWAY AND AUTONOMIC DISTURBANCE	0.27683198	5.917369167984686
AORTIC ANEURYSM, FAMILIAL THORACIC 6	0.2763158	5.906335660883626
CHIARI MALFORMATION TYPE I	0.27460713999999997	5.869812525071901
MYOPATHY, CONGENITAL, WITH FIBER-TYPE DISPROPORTION, X-LINKED; CFTDX	0.27278698	5.830906042284765
DNAJB6-RELATED  LIMB-GIRDLE MUSCULAR DYSTROPHY D1	0.2705631	5.783369919668809
SCLERODERMA	0.26951694	5.7610079261997775
INCLUSION BODY MYOSITIS	0.26662211	5.699130039878419
SPINAL MUSCULAR ATROPHY, LOWER EXTREMITY-PREDOMINANT, 1, AUTOSOMAL DOMINANT; SMALED1	0.265641	5.678158510272621
