syndrome	score	normalized_score
HYPERPHOSPHATASIA WITH MENTAL RETARDATION SYNDROME 6	1.00614892	100.0
ATRESIA OF SMALL INTESTINE	1.00189394	99.57710236373359
TELO2-RELATED INTELLECTUAL DISABILITY-NEURODEVELOPMENTAL DISORDER	1.00189394	99.57710236373359
DEXTROCARDIA	1.0	99.38886581521153
NEPHROTIC SYNDROME, TYPE 1; NPHS1	1.0	99.38886581521153
VITAMIN D-DEPENDENT RICKETS, TYPE 2B, WITH NORMAL VITAMIN D RECEPTOR	0.5039678	50.088788049387354
2,4-DIENOYL-COA REDUCTASE DEFICIENCY; DECRD	0.5	49.694432907605766
MEDIUM CHAIN ACYL-COA DEHYDROGENASE DEFICIENCY	0.5	49.694432907605766
BRAIN DOPAMINE-SEROTONIN VESICULAR TRANSPORT DISEASE	0.5	49.694432907605766
HEREDITARY PERSISTENCE OF FETAL HEMOGLOBIN-BETA-THALASSEMIA SYNDROME	0.5	49.694432907605766
GANGLIONEUROMA	0.5	49.694432907605766
RESTRICTIVE DERMOPATHY	0.46240712	45.958119201678414
AUTOSOMAL RECESSIVE HYPOPHOSPHATEMIC RICKETS	0.39999969999999996	39.755516509424865
PARTIAL DELETION OF THE SHORT ARM OF CHROMOSOME 7	0.34014504999999995	33.80663073215841
BRAIN MALFORMATIONS-MUSCULOSKELETAL ABNORMALITIES-FACIAL DYSMORPHISM-INTELLECTUAL DISABILITY SYNDROME	0.33900869	33.69368920060064
TYROSINEMIA TYPE 1	0.333333	33.129588808781904
17Q24.2 MICRODELETION SYNDROME	0.333333	33.129588808781904
SOLITARY FIBROUS TUMOUR/HEMANGIOPERICYTOMA	0.26666670000000003	26.50370086368527
VISCERAL MYOPATHY, FAMILIAL, WITH EXTERNAL OPHTHALMOPLEGIA	0.25378788	25.223689550847006
DYSTONIA 6, TORSION	0.25	24.847216453802883
HYPERPARATHYROIDISM 2	0.25	24.847216453802883
METAPHYSEAL CHONDRODYSPLASIA, SPAHR TYPE	0.25	24.847216453802883
OCULOGASTROINTESTINAL MUSCULAR DYSTROPHY	0.25	24.847216453802883
ENTERIC ANENDOCRINOSIS	0.25	24.847216453802883
CONGENITAL DYSERYTHROPOIETIC ANEMIA TYPE III	0.25	24.847216453802883
EOSINOPHILIC ESOPHAGITIS	0.25	24.847216453802883
CENTRAL NEUROCYTOMA	0.25	24.847216453802883
KAGAMI-OGATA SYNDROME	0.23491241000000002	23.347677995817957
HYPERINSULINISM DUE TO HNF4A DEFICIENCY	0.2333337	23.190771799466823
INFANTILE MYOFIBROMATOSIS	0.2277778	22.63857719988409
BETA-THALASSEMIA	0.2185185	21.7183058746413
DIFFUSE NEONATAL HEMANGIOMATOSIS	0.21146146000000002	21.016914673028722
BECKWITH-WIEDEMANN SYNDROME	0.20840336	20.712973582479222
6P22 MICRODELETION SYNDROME	0.20731342	20.60464568207259
TRICHOHEPATOENTERIC SYNDROME 1	0.20698185	20.57169131583424
MECKEL SYNDROME, TYPE 1; MKS1	0.20495204000000003	20.369950802113866
MOMO SYNDROME	0.20205761	20.08227668723234
ECTODERMAL DYSPLASIA 11B, HYPOHIDROTIC/HAIR/TOOTH TYPE, AUTOSOMAL RECESSIVE; ECTD11B	0.20172414000000002	20.04913348214895
ECTODERMAL DYSPLASIA 11A, HYPOHIDROTIC/HAIR/TOOTH TYPE, AUTOSOMAL DOMINANT; ECTD11A	0.2	19.877773163042306
